Data;Histórico;Tipo do Histórico;Receita;Despesa;Tipo de Conta
12/06/2022;PG VIVIANE (FISIOTERAPIA);ESPAÇO DE LUZ;0;200;DESPESA
15/06/2022;MATERIAL DE LIMPEZA MINI CAÇULINHA;MATERIAL;0;35,6;DESPESA
27/05/2022;MUNDO DOS LEDS/CAIXA DE SOM;MANUTENÇÃO;0;39,9;DESPESA
01/07/2022;BRECHÓ;BRECHÓ;241;0;RECEITA
01/07/2022;CANTINA ;CANTINA;321,5;0;RECEITA
01/07/2022;DOAÇÃO;DOAÇÃO;0;0;RECEITA
01/07/2022;LIVRARIA ;LIVRARIA;0;0;RECEITA
01/07/2022;MENSALIDADE;MENSALIDADE;110;0;RECEITA
01/07/2022;EVENTO - FESTA JUNINA;EVENTO;6573;0;RECEITA
02/07/2022;DROGARIA PACHECO / CURATICO DNA NENA ;MATERIAL;0;174,01;DESPESA
04/07/2022;PAPELRIA SANTA RITA / BARBANTE;MATERIAL;0;16,9;DESPESA
05/07/2022;BARÃO DO OESTE PLASTICO;MATERIAL;0;33,86;DESPESA
06/07/2022;MATRIZ DESCARTAVEIS/ LAÇOE E SACOS GRANDE ;MATERIAL;0;16,2;DESPESA
11/07/2022;BARÃO DO OESTE PLASTICO;MATERIAL;0;32,76;DESPESA
12/07/2022;TNT;MATERIAL;0;14;DESPESA
13/07/2022;WTMS AFIAÇÃ DE FACAS ;MANUTENÇÃO;0;26;DESPESA
14/07/2022;PLÁSTICO LISONELE / BANDEIRAS;MATERIAL;0;15;DESPESA
14/07/2022;SEPA / MECANISMO PAR VASO SANITÁRIO;MATERIAL;0;177;DESPESA
14/07/2022;MINI MERCADO CAÇULINHA/FESTA JUNINA;GASTOS COM EVENTO;0;136,25;DESPESA
15/07/2022;MATRIZ DESCARTAVEIS /PALITO CHURRASCO;GASTOS COM EVENTO;0;17,97;DESPESA
15/07/2022;CORREIO/ POSTAGEM RIFA BONECOS;RIFA;0;19,3;DESPESA
15/07/2022;AF DISTRIBUIDORA;MATERIAL;0;50,87;DESPESA
15/07/2022;MINI CAÇULINHA / CANJICA;GASTOS COM EVENTO;0;46,42;DESPESA
15/07/2022;EMANUEL / FESTA JUNINA;GASTOS COM EVENTO;0;343,72;DESPESA
15/07/2022;FOP FRUIT;ALIMENTAÇÃO;0;8,83;DESPESA
27/07/2022;MATERIAL DE LIMPEZA MINI CAÇILINHA;MATERIAL;0;27,71;DESPESA
15/07/2022;MINI MERCADO CAÇULINHA/FESTA JUNINA;GASTOS COM EVENTO;0;50,97;DESPESA
16/07/2022;MATRIZ DESCARTAVEIS /DOCES / BRINDES;GASTOS COM EVENTO;0;64,68;DESPESA
16/07/2022;MINI CAÇULINHA / CARNE CHURRASCO;GASTOS COM EVENTO;0;213,31;DESPESA
18/07/2022;RAMOS MATERIAL DE CONSTRUÇÃO;GASTOS COM EVENTO;0;197;DESPESA
18/07/2022;FONTE DAGUA / FESTA JUNINA ;GASTOS COM EVENTO;0;941;DESPESA
20/07/2022;TAKI  REFIL BEBEDOURO;MANUTENÇÃO;0;46,5;DESPESA
20/07/2022;MERCADO LIVRE/ CAIXA ORGANIZADORA;MATERIAL;0;378;DESPESA
28/07/2022;APARELHO DE PRESSÃO;MATERIAL;0;120;DESPESA
01/08/2022;BRECHÓ;BRECHÓ;300;0;RECEITA
01/08/2022;EVENTO;EVENTO;675;0;RECEITA
01/08/2022;CANTINA ;CANTINA;425;0;RECEITA
01/08/2022;DOAÇÃO;DOAÇÃO;0;0;RECEITA
01/08/2022;LIVRARIA ;LIVRARIA;20;0;RECEITA
01/08/2022;MENSALIDADE;MENSALIDADE;130;0;RECEITA
03/08/2022;SUP. MUNDIAL / CESTA BASICA;CESTA BÁSICA;0;1918,89;DESPESA
03/08/2022;PG BETTERFOOD;CANTINA;0;301,6;DESPESA
05/08/2022;PG FGTS;CONTAS;0;163,53;DESPESA
05/08/2022;PG GPS;CONTAS;0;675,33;DESPESA
05/08/2022;PG CONTADOR;CONTAS;0;606;DESPESA
05/08/2022;PG CEDAE;CONTAS;0;116,26;DESPESA
05/08/2022;PG LIGTH;CONTAS;0;549,61;DESPESA
08/08/2022;BOM ATACADÃO/COMPLEMENTO CESTA BASCIA ;CESTA BÁSICA;0;33,63;DESPESA
08/08/2022;O BOM ATACADÃO/CORREIO FRATERNO;GASTOS COM EVENTO;0;214,37;DESPESA
08/08/2022;MINI MERCADO KAÇULINHA / CORREIO FRATERNO;GASTOS COM EVENTO;0;37,65;DESPESA
11/08/2022;EMANUEL / CORREIO FRATERNO;GASTOS COM EVENTO;0;43,22;DESPESA
11/08/2022;MINI MERCADO KAÇULINHA / CORREIO FRATERNO;GASTOS COM EVENTO;0;4,44;DESPESA
12/08/2022;MATRIZ DESCARTÁVEIS / CORREIO FRATERNO;GASTOS COM EVENTO;0;51,25;DESPESA
12/08/2022;BOM ATACADÃO/CORREIO FRATERNO;GASTOS COM EVENTO;0;95,96;DESPESA
12/08/2022;MINI MERCADO KAÇULINHA / CORREIO FRATERNO;GASTOS COM EVENTO;0;325,73;DESPESA
13/08/2022;MINI KAÇULINHA / BEBIDAS ;GASTOS COM EVENTO;0;159,96;DESPESA
13/08/2022;MMM / PÃO CACHORRO QUENTE;GASTOS COM EVENTO;0;27;DESPESA
15/08/2022;TAKI BAZAR / VERNIZ;MATERIAL;0;107;DESPESA
22/08/2022;TAKI BAZAR / TINTA;MATERIAL;0;108;DESPESA
24/08/2022;DROGARIA EXATA / FARMACINHA LEGADINHA;MATERIAL;0;46,99;DESPESA
24/08/2022;KATILOMANIA / MASSINHA LEGADINHA;MATERIAL;0;50,5;DESPESA
28/08/2022;HORTO CAFÉ / PLANTAS;JARDINAGEM;0;170;DESPESA
01/09/2022;BRECHÓ;BRECHÓ;275;0;RECEITA
01/09/2022;CANTINA ;CANTINA;311;0;RECEITA
01/09/2022;DOAÇÃO;DOAÇÃO;0;0;RECEITA
01/09/2022;EVENTO;EVENTO;540;0;RECEITA
01/09/2022;LIVRARIA ;LIVRARIA;0;0;RECEITA
01/09/2022;MENSALIDADE;MENSALIDADE;140;0;RECEITA
01/09/2022;RIFA ;RIFA;150;0;RECEITA
02/09/2022;FAZENDO A FESTA (ENCONTRO NATUREZA);GASTOS COM EVENTO;0;76,97;DESPESA
02/09/2022;FAZENDO A FESTA (ENCONTRO NATUREZA);GASTOS COM EVENTO;0;10,5;DESPESA
02/09/2022;RAIINHA DAS ESSENCIAS (ENCONTRO NATUREZA);GASTOS COM EVENTO;0;31,55;DESPESA
02/09/2022;PARCO COMERCIO (CAÇULA PAPELARIA);MATERIAL;0;189,72;DESPESA
03/09/2022;PROJEÇAÕ BAZAR (ENCONTRO NATUREZA);GASTOS COM EVENTO;0;53,3;DESPESA
05/09/2022;CASA SÃO COSME E DAMIÃO/ EVA;MATERIAL;0;9;DESPESA
05/09/2022;MINI MERCADO KAÇULINHA / MATERIAL LIMPEZA;MATERIAL;0;23,35;DESPESA
06/09/2022;HORTO CAFÉ / FLORES ENCONTRO NATUREZA;GASTOS COM EVENTO;0;280;DESPESA
06/09/2022;FOP FTUT MELANCIA ;ALIMENTAÇÃO;0;25,2;DESPESA
06/09/2022;MINI MERCADO KAÇULINHA / SOBREMESA /PUDIM;ALIMENTAÇÃO;0;88,19;DESPESA
11/09/2022;MATERIAL PRA COXINHA;MATERIAL;0;100;DESPESA
14/09/2022;MINI MERCADO KAÇULINHA DETERGENTE;MATERIAL;0;5,9;DESPESA
16/09/2022;DOIS IRMÃO/ GRAXA;MATERIAL;0;21,5;DESPESA
11/09/2022;MATERIAL COXINHA ;MATERIAL;0;68,04;DESPESA
12/09/2022;MATERIAL COXINHA;MATERIAL;0;28,96;DESPESA
12/09/2022;MATERIAL COXINHA ;MATERIAL;0;9,48;DESPESA
25/09/2022;MARGARINA CAFÉ MANHA EVANGELIZAÇÃO;MATERIAL;0;18,5;DESPESA
28/09/2022;MARINHO MATERIAL  / SACO TERRA;JARDINAGEM;0;42;DESPESA
01/10/2022;BRECHÓ;BRECHÓ;122;0;RECEITA
01/10/2022;CANTINA ;CANTINA;334;0;RECEITA
01/10/2022;DOAÇÃO;DOAÇÃO;25;0;RECEITA
01/10/2022;EVENTO;EVENTO;0;0;RECEITA
01/10/2022;LIVRARIA ;LIVRARIA;0;0;RECEITA
01/10/2022;MENSALIDADE;MENSALIDADE;110;0;RECEITA
01/10/2022;RIFA ;RIFA;0;0;RECEITA
06/10/2022;CAÇULA PAPELARIA ;MATERIAL;0;41,95;DESPESA
01/11/2022;BRECHÓ;BRECHÓ;220;0;RECEITA
01/11/2022;CANTINA ;CANTINA;315;0;RECEITA
01/11/2022;DOAÇÃO;DOAÇÃO;300;0;RECEITA
01/11/2022;EVENTO;EVENTO;0;0;RECEITA
01/11/2022;LIVRARIA ;LIVRARIA;0;0;RECEITA
01/11/2022;MENSALIDADE;MENSALIDADE;110;0;RECEITA
01/11/2022;RIFA ;RIFA;0;0;RECEITA
22/11/2022;GARRAFA TÉRMICA ;MATERIAL;0;99,9;DESPESA
30/11/2022;FONTE COMPUTADOR ;MANUTENÇÃO;0;260,99;DESPESA
01/12/2022;BRECHÓ;BRECHÓ;432;0;RECEITA
01/12/2022;CANTINA ;CANTINA;325,5;0;RECEITA
01/12/2022;DOAÇÃO;DOAÇÃO;120;0;RECEITA
01/12/2022;MENSALIDADE;MENSALIDADE;130;0;RECEITA
03/12/2022;CASA COSME - PISTOLA COLA E EVA;MATERIAL;0;50,9;DESPESA
08/12/2022;CAÇULA PAPELARIA ;MATERIAL;0;37,93;DESPESA
14/12/2022;PACHECO - PILHAS;MATERIAL;0;55,98;DESPESA
16/12/2022;CAÇULA PAPELARIA ;MATERIAL;0;134,73;DESPESA
16/12/2022;FLIP FLOP - HAVAIANAS;MATERIAL;0;28,08;DESPESA
16/12/2022;UNIVERSO DAS FLORES/ MOCILAS ;MATERIAL;0;360;DESPESA
16/12/2022;RMCRAMOS - HAVAIANAS;MATERIAL;0;114,5;DESPESA
03/12/2022;CASA COSME - PISTOLA COLA E EVA;MATERIAL;0;35,9;DESPESA
